"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","117","56","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","16","25","35","41","0","11","31","36","35","39","0","11","0","11","0","11","0","11",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","53","40","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","12","21","15","23","0","11","0","11","11","19","15","22","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","327","111","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","27","0","11","16","25","0","11","28","31","29","43","98","79","66","51","17","28","20","32","21","35","0","11","15","29","0","11","0","11",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","224","108","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","49","59","0","11","10","17","12","20","14","24","57","75","0","11","40","50","42","41","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","353","111","17","27","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","28","31","20","32","26","32","0","11","13","22","58","50","78","65","29","33","43","39","41","50","0","11","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","114","62","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","17","27","0","11","13","21","0","11","10","17","0","11","0","11","14","22","0","11","28","44","32","30","0","11","0","11","0","11","0","11","0","11",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","142","51","9","14","0","11","0","11","0","11","0","11","0","11","0","11","27","33","0","11","0","11","14","23","0","11","0","11","0","11","7","12","23","27","46","35","8","13","0","11","8","12","0","11","0","11","0","11","0","11","0","11","0","11",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","117","49","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","19","22","0","11","0","11","24","22","6","11","0","11","8","12","42","34","0","11","0","11","18","22","0","11","0","11","0","11","0","11","0","11",
"1500000US170310103001","Block Group 1, Census Tract 103, Cook County, Illinois","252","90","13","21","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","86","64","41","39","10","17","29","32","30","32","0","11","0","11","43","67","0","11","0","11","0","11","0","11","0","11",
