"GEO_ID","NAME","B25075_001E","B25075_001M","B25075_002E","B25075_002M","B25075_003E","B25075_003M","B25075_004E","B25075_004M","B25075_005E","B25075_005M","B25075_006E","B25075_006M","B25075_007E","B25075_007M","B25075_008E","B25075_008M","B25075_009E","B25075_009M","B25075_010E","B25075_010M","B25075_011E","B25075_011M","B25075_012E","B25075_012M","B25075_013E","B25075_013M","B25075_014E","B25075_014M","B25075_015E","B25075_015M","B25075_016E","B25075_016M","B25075_017E","B25075_017M","B25075_018E","B25075_018M","B25075_019E","B25075_019M","B25075_020E","B25075_020M","B25075_021E","B25075_021M","B25075_022E","B25075_022M","B25075_023E","B25075_023M","B25075_024E","B25075_024M","B25075_025E","B25075_025M","B25075_026E","B25075_026M","B25075_027E","B25075_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $49,999","Margin of Error!!Total:!!$40,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $69,999","Margin of Error!!Total:!!$60,000 to $69,999","Estimate!!Total:!!$70,000 to $79,999","Margin of Error!!Total:!!$70,000 to $79,999","Estimate!!Total:!!$80,000 to $89,999","Margin of Error!!Total:!!$80,000 to $89,999","Estimate!!Total:!!$90,000 to $99,999","Margin of Error!!Total:!!$90,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $174,999","Margin of Error!!Total:!!$150,000 to $174,999","Estimate!!Total:!!$175,000 to $199,999","Margin of Error!!Total:!!$175,000 to $199,999","Estimate!!Total:!!$200,000 to $249,999","Margin of Error!!Total:!!$200,000 to $249,999","Estimate!!Total:!!$250,000 to $299,999","Margin of Error!!Total:!!$250,000 to $299,999","Estimate!!Total:!!$300,000 to $399,999","Margin of Error!!Total:!!$300,000 to $399,999","Estimate!!Total:!!$400,000 to $499,999","Margin of Error!!Total:!!$400,000 to $499,999","Estimate!!Total:!!$500,000 to $749,999","Margin of Error!!Total:!!$500,000 to $749,999","Estimate!!Total:!!$750,000 to $999,999","Margin of Error!!Total:!!$750,000 to $999,999","Estimate!!Total:!!$1,000,000 to $1,499,999","Margin of Error!!Total:!!$1,000,000 to $1,499,999","Estimate!!Total:!!$1,500,000 to $1,999,999","Margin of Error!!Total:!!$1,500,000 to $1,999,999","Estimate!!Total:!!$2,000,000 or more","Margin of Error!!Total:!!$2,000,000 or more",
"1500000US170310101001","Block Group 1, Census Tract 101, Cook County, Illinois","163","85","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","18","28","0","12","56","49","38","43","0","12","51","81","0","12","0","12",
"1500000US170310101002","Block Group 2, Census Tract 101, Cook County, Illinois","191","148","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","25","38","16","26","0","12","0","12","25","38","15","24","0","12","110","128","0","12","0","12","0","12","0","12","0","12",
"1500000US170310101003","Block Group 3, Census Tract 101, Cook County, Illinois","447","145","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","25","0","12","17","27","36","58","66","69","25","38","136","95","24","24","50","62","15","25","18","31","0","12","44","58","0","12","0","12",
"1500000US170310102011","Block Group 1, Census Tract 102.01, Cook County, Illinois","429","163","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","12","19","0","12","43","74","60","96","13","24","21","35","22","36","148","112","0","12","43","42","67","50","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310102012","Block Group 2, Census Tract 102.01, Cook County, Illinois","115","66","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","15","24","0","12","7","13","0","12","0","12","11","18","0","12","27","44","42","41","13","22","0","12","0","12","0","12","0","12",
"1500000US170310102013","Block Group 3, Census Tract 102.01, Cook County, Illinois","107","68","25","39","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","37","42","0","12","16","25","29","45","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310102014","Block Group 4, Census Tract 102.01, Cook County, Illinois","155","84","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","24","0","12","16","25","0","12","13","25","37","46","41","52","0","12","32","36","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310102021","Block Group 1, Census Tract 102.02, Cook County, Illinois","116","49","8","14","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","11","18","0","12","0","12","0","12","6","11","35","34","42","28","7","11","0","12","7","11","0","12","0","12","0","12","0","12","0","12","0","12",
"1500000US170310102022","Block Group 2, Census Tract 102.02, Cook County, Illinois","170","81","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","0","12","16","18","0","12","0","12","27","29","15","22","40","61","8","12","34","34","0","12","17","25","13","16","0","12","0","12","0","12","0","12","0","12",
